model,swept_param,prune_rate,lambda_k,cooldown,plateau_tol,acc_mean,acc_std,k_mean,k_ratio_mean,n_prunes_mean,param_value
A-SAND,cooldown,0.1,0.15,2,0.003,0.9988425970077515,0.00200468078740671,61.0,0.1525,21.333333333333332,2.0
A-SAND,cooldown,0.1,0.15,3,0.003,0.9988425970077515,0.00200468078740671,50.0,0.125,23.333333333333332,3.0
A-SAND,cooldown,0.1,0.15,5,0.003,0.9976851940155029,0.00200468078740671,97.33333333333333,0.24333333333333332,15.0,5.0
A-SAND,lambda_k,0.1,0.1,3,0.003,0.9965277910232544,0.0034722089767456055,45.333333333333336,0.11333333333333333,24.666666666666668,0.1
A-SAND,lambda_k,0.1,0.15,3,0.003,0.9953703681627909,0.005303919338558842,54.666666666666664,0.13666666666666666,22.0,0.15
A-SAND,lambda_k,0.1,0.2,3,0.003,0.9965277910232544,0.0,57.666666666666664,0.14416666666666667,19.666666666666668,0.2
A-SAND,plateau_tol,0.1,0.15,3,0.001,0.9965277910232544,0.0034722089767456055,50.0,0.125,22.666666666666668,0.001
A-SAND,plateau_tol,0.1,0.15,3,0.003,0.9976851940155029,0.00200468078740671,61.333333333333336,0.15333333333333332,19.0,0.003
A-SAND,plateau_tol,0.1,0.15,3,0.005,0.9988425970077515,0.00200468078740671,55.0,0.13749999999999998,21.333333333333332,0.005
A-SAND,prune_rate,0.05,0.15,3,0.003,0.9976851940155029,0.00200468078740671,97.33333333333333,0.24333333333333332,30.666666666666668,0.05
A-SAND,prune_rate,0.1,0.15,3,0.003,0.9976851940155029,0.00200468078740671,50.666666666666664,0.12666666666666668,23.0,0.1
A-SAND,prune_rate,0.15,0.15,3,0.003,0.9965277711550394,0.006014076774977845,48.666666666666664,0.12166666666666666,18.333333333333332,0.15
A-SAND-Hybrid,cooldown,0.1,0.15,2,0.003,0.9942129651705424,0.004009395987571135,54.666666666666664,0.13666666666666666,21.333333333333332,2.0
A-SAND-Hybrid,cooldown,0.1,0.15,3,0.003,0.9953703880310059,0.00200468078740671,62.666666666666664,0.15666666666666665,21.333333333333332,3.0
A-SAND-Hybrid,cooldown,0.1,0.15,5,0.003,0.9965277910232544,0.0,108.66666666666667,0.27166666666666667,12.666666666666666,5.0
A-SAND-Hybrid,lambda_k,0.1,0.1,3,0.003,0.9965277910232544,0.0,79.0,0.1975,19.666666666666668,0.1
A-SAND-Hybrid,lambda_k,0.1,0.15,3,0.003,0.9942129850387573,0.00200468078740671,51.333333333333336,0.12833333333333333,22.0,0.15
A-SAND-Hybrid,lambda_k,0.1,0.2,3,0.003,0.9907407363255819,0.005303919338558842,55.0,0.13749999999999998,21.666666666666668,0.2
A-SAND-Hybrid,plateau_tol,0.1,0.15,3,0.001,0.9942129850387573,0.00200468078740671,60.0,0.15,22.0,0.001
A-SAND-Hybrid,plateau_tol,0.1,0.15,3,0.003,0.9942129651705424,0.004009395987571111,80.33333333333333,0.20083333333333334,18.666666666666668,0.003
A-SAND-Hybrid,plateau_tol,0.1,0.15,3,0.005,0.9953703681627909,0.005303919338558842,74.0,0.18499999999999997,20.333333333333332,0.005
A-SAND-Hybrid,prune_rate,0.05,0.15,3,0.003,0.9965277910232544,0.0,117.0,0.2925,26.0,0.05
A-SAND-Hybrid,prune_rate,0.1,0.15,3,0.003,0.9918981393178304,0.004009395987571135,51.333333333333336,0.12833333333333333,23.333333333333332,0.1
A-SAND-Hybrid,prune_rate,0.15,0.15,3,0.003,0.9918981591860453,0.0020047152001644243,54.666666666666664,0.13666666666666666,16.0,0.15
